Race,Deployed,Retreated,FullLaps
2015 Belgian Grand Prix,20,21,2
2015 British Grand Prix,32,34,3
2015 Hungarian Grand Prix,41,42,2
2015 Monaco Grand Prix,62,64,3
2015 Singapore Grand Prix,13,14,2
2015 Singapore Grand Prix,36,36,1
2016 British Grand Prix,17,18,2
2016 Malaysian Grand Prix,8,9,2
2016 Malaysian Grand Prix,39,41,3
2016 Monaco Grand Prix,30,31,2
2016 Monaco Grand Prix,34,35,2
2016 Monaco Grand Prix,49,50,2
2016 Monaco Grand Prix,66,68,3
2016 United States Grand Prix,29,31,3
2017 Canadian Grand Prix,10,13,4
2017 Japanese Grand Prix,8,9,2
2017 Japanese Grand Prix,46,48,3
2017 Mexican Grand Prix,31,32,2
2017 Spanish Grand Prix,32,36,5
2018 Australian Grand Prix,24,26,3
2018 Austrian Grand Prix,14,15,2
2018 Bahrain Grand Prix,2,3,2
2018 French Grand Prix,50,51,2
2018 Hungarian Grand Prix,5,6,2
2018 Hungarian Grand Prix,49,51,3
2018 Japanese Grand Prix,39,40,2
2018 Mexican Grand Prix,29,31,3
2018 Mexican Grand Prix,59,62,4
2018 Monaco Grand Prix,71,73,3
2018 Spanish Grand Prix,39,41,3
2018 United States Grand Prix,9,11,3
2019 Azerbaijan Grand Prix,38,40,3
2019 French Grand Prix,48,49,2
2019 German Grand Prix,14,15,2
2019 Italian Grand Prix,27,30,4
2019 Mexican Grand Prix,1,2,2
2019 Russian Grand Prix,26,27,2
2020 Russian Grand Prix,41,42,2
2020 Sakhir Grand Prix,53,55,3
2020 Turkish Grand Prix,12,13,2
2021 Abu Dhabi Grand Prix,34,36,3
2021 Qatar Grand Prix,53,55,3
2021 Saudi Arabian Grand Prix,22,23,2
2021 Saudi Arabian Grand Prix,26,27,2
2021 Saudi Arabian Grand Prix,34,35,2
2021 United States Grand Prix,26,27,2
2022 Australian Grand Prix,22,22,1
2022 Australian Grand Prix,38,39,2
2022 Austrian Grand Prix,56,58,3
2022 Azerbaijan Grand Prix,8,9,2
2022 Azerbaijan Grand Prix,32,34,3
2022 Brazilian Grand Prix,51,53,3
2022 Canadian Grand Prix,8,9,2
2022 Canadian Grand Prix,18,19,2
2022 Dutch Grand Prix,46,48,3
2022 French Grand Prix,48,49,2
2022 Hungarian Grand Prix,0,1,2
2022 Hungarian Grand Prix,66,68,3
2022 Italian Grand Prix,12,12,1
2022 Mexico City Grand Prix,63,64,2
2022 Miami Grand Prix,39,39,1
2022 Monaco Grand Prix,25,25,1
2022 Saudi Arabian Grand Prix,37,39,3
2022 Singapore Grand Prix,20,21,2
2022 Singapore Grand Prix,25,29,5
2023 Australian Grand Prix,17,18,2
2023 Austrian Grand Prix,13,15,3
2023 Bahrain Grand Prix,39,40,2
2023 British Grand Prix,31,31,1
2023 Canadian Grand Prix,6,7,2
2023 Dutch Grand Prix,15,15,1
2023 Japanese Grand Prix,12,13,2
2023 Las Vegas Grand Prix,1,2,2
2023 Mexico City Grand Prix,4,5,2
2023 Singapore Grand Prix,42,44,3
2024 Abu Dhabi Grand Prix,1,2,2
2024 Australian Grand Prix,16,17,2
2024 Australian Grand Prix,57,57,1
2024 Austrian Grand Prix,64,65,2
2024 Azerbaijan Grand Prix,49,50,2
2024 Chinese Grand Prix,20,22,3
2024 Miami Grand Prix,21,22,2
2024 São Paulo Grand Prix,26,27,2
2025 British Grand Prix,1,2,2
2025 British Grand Prix,4,5,2
2025 Dutch Grand Prix,30,31,2
2025 Emilia Romagna Grand Prix,28,30,3
2025 Las Vegas Grand Prix,1,3,3
2025 Las Vegas Grand Prix,14,15,2
2025 Mexico City Grand Prix,69,70,2
2025 Miami Grand Prix,1,2,2
2025 Miami Grand Prix,27,29,3
2025 Miami Grand Prix,32,33,2
2025 Monaco Grand Prix,1,3,3
2025 São Paulo Grand Prix,6,7,2
2025 United States Grand Prix,6,8,3
2026 Australian Grand Prix,10,13,4
2026 Australian Grand Prix,17,19,3
2026 Australian Grand Prix,32,33,2
2026 Austrian Grand Prix,23,25,3
2026 Austrian Grand Prix,50,51,2
2026 Barcelona-Catalunya Grand Prix,39,41,3
2026 Barcelona-Catalunya Grand Prix,61,63,3
2026 Belgian Grand Prix,16,17,2
2026 Belgian Grand Prix,19,20,2
2026 British Grand Prix,20,21,2
2026 British Grand Prix,37,38,2
2026 Canadian Grand Prix,29,31,3
2026 Canadian Grand Prix,44,45,2
2026 Canadian Grand Prix,50,53,4
